Año,Días para iniciar un negocio,Emisiones de CO2,Esperanza de vida (hombres),Esperanza de vida (mujeres),Facilidad para hacer negocios,Gasto en salud (% del PIB),Gasto en salud (per cápita),Horas para preparar los impuestos,Interés de préstamos,País,Población +65,Población 0-14,Población 15-64,Región,Uso de Internet,Uso de energía,Uso de teléfonos móviles
12/01/2000,,87931,67,71,,"0,04",60,,,Argelia,39,342,619,África,"0,01",26998,0
12/01/2000,,9542,44,47,,"0,03",22,,1032,Angola,25,476,499,África,0,7499,0
12/01/2000,,1617,53,57,,"0,04",15,,,Benín,29,454,517,África,0,1983,"0,01"
12/01/2000,,4276,49,52,,"0,05",152,,155,Botsuana,29,383,587,África,"0,03",1836,"0,13"
12/01/2000,,1041,49,52,,"0,05",12,,,Burkina Faso,28,468,505,África,0,,0
12/01/2000,,301,47,49,,"0,06",7,,158,Burundi,29,,481,África,0,,0
12/01/2000,,3432,51,53,,"0,04",26,,,Camerún,34,453,513,África,0,6310,"0,01"
12/01/2000,,268,42,45,,"0,04",11,,,República Centroafricana,,423,537,África,0,,0
12/01/2000,,176,46,48,,"0,06",10,,,Chad,28,,482,África,0,,0
12/01/2000,,84,56,59,,"0,04",13,,,Comoras,31,415,554,África,0,,
12/01/2000,,1646,45,48,,"0,05",14,,,"Congo, Rep. Democrática)",28,464,507,África,0,16679,0
12/01/2000,,1049,51,53,,"0,02",22,,,Congo (Brazzaville),36,419,545,África,0,814,"0,02"
12/01/2000,,6791,46,47,,"0,07",42,,,Costa de Marfil,29,421,,África,0,6734,"0,03"
12/01/2000,,403,55,59,,"0,06",44,,,Yibuti,,414,556,África,0,,0
12/01/2000,,141326,66,71,,"0,05",79,,132,Egipto,53,354,592,África,"0,01",40658,"0,02"
12/01/2000,,455,46,49,,"0,02",57,,,Guinea Ecuatorial,37,426,537,África,0,,"0,01"
12/01/2000,,609,54,58,,"0,05",7,,,Eritrea,18,,512,África,0,708,
12/01/2000,,5831,51,53,,"0,04",5,,109,Etiopía,31,466,503,África,0,25242,0
12/01/2000,,1052,59,61,,"0,03",118,,,Gabón,59,406,535,África,"0,01",1463,"0,1"
12/01/2000,,275,54,56,,"0,05",29,,,Gambia,27,459,514,África,"0,01",,"0,01"
12/01/2000,,6289,56,58,,"0,05",13,,,Ghana,,414,556,África,0,7736,"0,01"
12/01/2000,,1280,51,51,,"0,06",19,,194,Guinea,34,,525,África,0,,"0,01"
12/01/2000,,147,50,53,,"0,05",16,,,Guinea-Bisáu,31,435,534,África,0,,
12/01/2000,,10418,52,54,,"0,05",19,,223,Kenia,28,442,531,África,0,14055,0
12/01/2000,,,47,48,,"0,07",29,,171,Lesoto,45,412,543,África,0,,"0,01"
12/01/2000,,436,52,53,,"0,06",11,,205,Liberia,31,432,537,África,0,,0
12/01/2000,,47114,70,74,,"0,03",252,,,Libia,39,333,628,África,0,15901,"0,01"
12/01/2000,,1874,57,60,,"0,05",12,,265,Madagascar,,455,515,África,0,,0
12/01/2000,,906,46,46,,"0,06",9,,531,Malaui,31,458,511,África,0,,0
12/01/2000,,543,49,49,,"0,06",16,,,Mali,35,461,504,África,0,,0
12/01/2000,,1236,58,61,,"0,06",24,,256,Mauritania,32,428,,África,0,,"0,01"
12/01/2000,,2769,68,75,,"0,04",146,,208,Mauricio,61,258,681,África,"0,07",,"0,15"
12/01/2000,,33905,67,70,,"0,04",54,,133,Marruecos,47,341,613,África,"0,01",10238,"0,08"
12/01/2000,,1349,46,49,,"0,06",15,,,Mozambique,32,438,,África,0,7173,0
12/01/2000,,1643,53,57,,"0,06",126,,153,Namibia,33,405,562,África,"0,02",978,"0,04"
12/01/2000,,796,51,51,,"0,06",10,,,Níger,25,479,495,África,0,,0
12/01/2000,,79182,46,47,,"0,05",17,,213,Nigeria,28,435,537,África,0,90596,0
12/01/2000,,686,47,49,,"0,04",9,,,Ruanda,,466,505,África,0,,"0,01"
12/01/2000,,48,62,65,,"0,09",46,,397,Santo Tomé y Príncipe,,,,África,"0,05",,
12/01/2000,,3938,56,59,,"0,05",22,,,Senegal,32,451,517,África,0,2398,"0,03"
12/01/2000,,565,,,,"0,05",371,,107,Seychelles,81,282,637,África,"0,07",,"0,33"
12/01/2000,,425,37,39,,"0,18",28,,263,Sierra Leona,25,,546,África,0,,0
12/01/2000,,517,49,52,,,,,,Somalia,29,472,499,África,0,,"0,01"
12/01/2000,,368611,54,58,,"0,08",246,,145,Sudáfrica,34,,636,África,"0,05",109264,"0,19"
12/01/2000,,,48,50,,,,,,Sudán del Sur,,447,523,África,,,
12/01/2000,,5534,56,60,,"0,03",15,,,Sudán,,437,533,África,0,13340,0
12/01/2000,,1188,48,49,,"0,05",75,,,Suazilandia,29,446,524,África,"0,01",,"0,03"
12/01/2000,,2651,49,51,,"0,03",10,,216,Tanzania,29,448,523,África,0,13390,0
12/01/2000,,1357,53,54,,"0,05",14,,,Togo,29,442,529,África,"0,01",2111,"0,01"
12/01/2000,,19923,71,75,,"0,05",123,,,Túnez,,298,641,África,"0,03",7306,"0,01"
12/01/2000,,1533,48,48,,"0,07",16,,229,Uganda,27,493,481,África,0,,"0,01"
12/01/2000,,1819,42,42,,"0,06",18,,388,Zambia,27,457,515,África,0,6244,"0,01"
12/01/2000,,13887,44,44,,,,,682,Zimbabue,34,422,545,África,0,9865,"0,02"
12/01/2000,,781,54,56,,,,,,Afganistán,,495,485,Asia,,,
12/01/2000,,3465,68,75,,"0,06",39,,316,Armenia,,259,641,Asia,"0,01",2015,"0,01"
12/01/2000,,29508,64,70,,"0,05",30,,197,Azerbaiyán,56,311,633,Asia,0,11296,"0,05"
12/01/2000,,27869,65,66,,"0,03",10,,155,Bangladés,41,,,Asia,0,18591,0
12/01/2000,,400,60,60,,"0,07",52,,,Bután,38,406,556,Asia,0,,
12/01/2000,,6527,74,78,,"0,03",543,,55,Brunéi,28,304,668,Asia,"0,09",2385,"0,29"
12/01/2000,,1977,59,65,,"0,06",19,,,Camboya,38,408,554,Asia,0,3412,"0,01"
12/01/2000,,3405180,71,74,,"0,05",43,,59,China,69,256,675,Asia,"0,02",1161353,"0,07"
12/01/2000,,4536,68,75,,"0,07",45,,247,Georgia,125,219,656,Asia,"0,01",2869,"0,04"
12/01/2000,,40465,78,84,,,,,95,"Hong Kong (RAE, República Popular China)",,173,717,Asia,"0,28",13392,"0,8"
12/01/2000,,1186663,61,63,,"0,04",20,,123,India,44,342,614,Asia,"0,01",457198,0
12/01/2000,,263419,65,69,,"0,02",15,,185,Indonesia,47,307,647,Asia,"0,01",154768,"0,02"
12/01/2000,,1219589,78,85,,"0,08",2834,,21,Japón,172,146,682,Asia,"0,3",518964,"0,53"
12/01/2000,,127769,60,71,,"0,04",52,,,Kazajistán,68,277,655,Asia,"0,01",35679,"0,01"
12/01/2000,,76699,61,69,,,,,,"Corea, Rep. Pop.",59,,681,Asia,,19717,
